parameter,mu_cepheid,mu_cepheid_err,source_id,galaxy,galaxy_norm,galaxy_trgb,trgb_mu,trgb_mu_err,sigma_kms,error_kms,delta_mu,delta_mu_err
mu_N1015,32.617748081806326,0.060076741756443,N1015,NGC 1015,NGC1015,NGC 1015,32.63,0.06,85.347788,2.969848,-0.012251918193676659,0.08490709569918371
mu_N1309,32.50896360923535,0.0506780279748097,N1309,NGC 1309,NGC1309,NGC 1309,32.52,0.05,114.622009,3.464823,-0.011036390764651571,0.07119173069546486
mu_N1365,31.32541543530425,0.0500632419879221,N1365,NGC 1365,NGC1365,NGC 1365,31.36,0.04,140.219275,2.12132,-0.034584564695748554,0.06408063824854779
mu_N1448,31.295113402826516,0.0357285514707881,N1448,NGC 1448,NGC1448,NGC 1448,31.32,0.04,130.885465,1.414214,-0.024886597173484404,0.05363328621481957
mu_N1559,31.46078272204369,0.0516333818314369,N1559,NGC 1559,NGC1559,NGC 1559,31.44,0.04,94.964441,1.202082,0.020782722043687585,0.06531467001639799
mu_N2442,31.465229402600443,0.0546366996015777,N2442,NGC 2442,NGC2442,NGC 2442,31.45,0.05,160.301107,7.353911,0.015229402600443365,0.07406192640860108
mu_N3021,32.39157825089393,0.0966189000632787,N3021,NGC 3021,NGC3021,NGC 3021,32.42,0.05,96.661497,2.828427,-0.02842174910607298,0.10878975985559411
mu_N3370,32.14249679432585,0.0456347313322023,N3370,NGC 3370,NGC3370,NGC 3370,32.09,0.04,105.641753,2.12132,0.05249679432584742,0.060683842196768374
mu_N3972,31.707206094762284,0.0676238347875992,N3972,NGC 3972,NGC3972,NGC 3972,31.6,0.05,77.781746,2.828427,0.10720609476228304,0.0841010287177304
mu_N4038,31.633833407662937,0.0800615212766845,N4038,NGC 4038,NGC4038,NGC 4038,31.61,0.05,119.571757,5.515433,0.023833407662937844,0.09439198689050361
mu_N4424,30.823886318364572,0.1080351844117757,N4424,NGC 4424,NGC4424,NGC 4424,31.04,0.05,20.223254,0.777817,-0.2161136816354272,0.11904453398155829
mu_N4536,30.83549639777847,0.0479757779420524,N4536,NGC 4536,NGC4536,NGC 4536,30.96,0.04,110.096526,1.979899,-0.12450360222153023,0.06246339143166277
mu_N4639,31.78738500726915,0.0713565283748475,N4639,NGC 4639,NGC4639,NGC 4639,31.8,0.05,117.309015,2.192031,-0.01261499273084965,0.08713067279500611
mu_N5584,31.86553948636049,0.0453757045325274,N5584,NGC 5584,NGC5584,NGC 5584,31.82,0.04,88.176216,2.05061,0.045539486360489434,0.06048929295192024
mu_N5643,30.508408628554548,0.0423384635611199,N5643,NGC 5643,NGC5643,NGC 5643,30.48,0.05,121.056681,3.040559,0.028408628554547732,0.06551752053242155
mu_N5861,32.205206817919304,0.0756344575522645,N5861,NGC 5861,NGC5861,NGC 5861,32.26,0.06,112.076425,1.555635,-0.054793182080693725,0.09654310523918992
mu_N5917,32.33689541476568,0.0769424972155627,N5917,NGC 5917,NGC5917,NGC 5917,32.3,0.06,65.478088,3.676955,0.03689541476568081,0.09757124513793433
mu_N7250,31.605972237460463,0.103313425286753,N7250,NGC 7250,NGC7250,NGC 7250,31.51,0.06,50.275292,2.616295,0.09597223746046168,0.1194724396858183
